Wall time,Step,Value
1745580253.480253,0,0.009999999776482582
1745580727.7977433,1000,0.5400000214576721
1745581283.6196444,2000,0.8500000238418579
1745581849.241876,3000,0.9100000262260437
1745582422.5421052,4000,0.8999999761581421
1745582818.4668221,5000,0.9300000071525574
1745583212.833306,6000,0.8799999952316284
1745583656.3148596,7000,0.9399999976158142
1745584039.3718507,8000,0.9599999785423279
1745584428.3729334,9000,0.9700000286102295
1745584867.8322363,10000,0.9800000190734863
1745585250.7221665,11000,0.9599999785423279
1745585635.9895637,12000,0.9700000286102295
1745586074.537241,13000,0.9800000190734863
1745586458.2580185,14000,0.9900000095367432
1745586840.116862,15000,0.949999988079071
1745587278.9835665,16000,0.9800000190734863
1745587664.1332119,17000,0.9900000095367432
1745588035.2008154,18000,0.9800000190734863
1745588482.6277897,19000,0.9399999976158142
1745588867.9673467,20000,0.9399999976158142
1745589257.408244,21000,0.9900000095367432
1745589696.2625902,22000,0.9800000190734863
1745590078.1107266,23000,0.9900000095367432
1745590461.5870266,24000,0.9800000190734863
1745590902.1116004,25000,0.9900000095367432
1745591291.1559603,26000,0.9700000286102295
1745591677.6690826,27000,0.9800000190734863
1745592123.402788,28000,0.9900000095367432
1745592515.1049333,29000,0.9900000095367432
1745592902.8974714,30000,0.9800000190734863
