Wall time,Step,Value
1744882918.018169,0,0.019999999552965164
1744883260.5615408,1000,0.5099999904632568
1744883602.9099314,2000,0.9200000166893005
1744883947.054232,3000,0.8399999737739563
1744884354.0853803,4000,0.9300000071525574
1744884716.282364,5000,0.9800000190734863
1744885081.8650784,6000,0.9399999976158142
1744885497.2389607,7000,0.949999988079071
1744885860.5261202,8000,0.9700000286102295
1744886217.207564,9000,0.9100000262260437
1744886627.2713118,10000,0.9700000286102295
1744886989.1657789,11000,0.9700000286102295
1744887348.247287,12000,0.9700000286102295
1744887755.1227155,13000,1.0
1744888113.2439847,14000,0.9599999785423279
1744888476.4178693,15000,0.9800000190734863
1744888887.5786285,16000,0.9599999785423279
1744889251.7763782,17000,1.0
1744889620.4135797,18000,0.9900000095367432
1744890030.9602427,19000,0.9800000190734863
1744890392.2331684,20000,0.9900000095367432
1744890753.1460023,21000,0.9700000286102295
1744891167.8071504,22000,0.9900000095367432
1744891527.4531157,23000,0.9800000190734863
1744891885.9956965,24000,1.0
1744892295.9714777,25000,1.0
1744892653.7994244,26000,0.9900000095367432
1744893011.3611927,27000,0.9800000190734863
1744893401.9514842,28000,0.9700000286102295
1744893748.4098945,29000,0.9900000095367432
1744894087.87574,30000,0.9900000095367432
