Wall time,Step,Value
1744882924.0680385,18,5.9840425819857046e-05
1744882933.938595,47,0.00015624999650754035
1744882939.011428,62,0.0002061170234810561
1744882948.136297,89,0.00029587766039185226
1744882952.7676797,103,0.00034242021501995623
1744882954.114058,107,0.0003557180752977729
1744882961.2249925,128,0.00042553190723992884
1744882973.8719795,164,0.0005452127661556005
1744882976.5784583,172,0.0005718084867112339
1744883001.6345968,244,0.0008111702045425773
1744883006.9817882,259,0.000861037231516093
1744883014.9966104,282,0.0009374999790452421
1744883050.0655136,386,0.0009999797912314534
1744883055.2186296,402,0.0009999715257436037
1744883060.1373854,415,0.0009999637259170413
1744883067.6685271,437,0.0009999483590945601
1744883077.304306,465,0.000999924959614873
1744883080.6381688,475,0.000999915529973805
1744883082.624275,481,0.0009999097092077136
1744883092.4228358,510,0.0009998782770708203
1744883100.1685994,533,0.0009998499881476164
1744883101.8753235,538,0.000999843468889594
1744883102.569675,540,0.000999840791337192
1744883108.0141609,556,0.0009998187888413668
1744883121.4135811,596,0.0009997575543820858
1744883135.4221494,637,0.000999685493297875
1744883137.4664888,643,0.0009996742010116577
1744883137.7830582,644,0.0009996723383665085
1744883142.632502,658,0.0009996449807658792
1744883148.4296062,675,0.0009996104054152966
1744883178.4720483,764,0.0009994031861424446
1744883182.171881,775,0.0009993744315579534
1744883192.054628,804,0.0009992956183850765
1744883212.9779294,866,0.0009991114493459463
1744883219.6283202,886,0.0009990474209189415
1744883265.333962,1015,0.0009985814103856683
1744883269.037798,1026,0.0009985374053940177
1744883272.8471842,1037,0.0009984927019104362
1744883284.5742779,1071,0.0009983504423871636
1744883298.4865267,1111,0.000998174655251205
1744883303.1257398,1125,0.0009981110924854875
1744883305.5456092,1132,0.0009980789618566632
1744883312.3614626,1152,0.0009979853639379144
1744883316.417195,1164,0.0009979282040148973
1744883320.4917784,1176,0.0009978703455999494
1744883323.2337632,1184,0.0009978312300518155
1744883334.9469848,1218,0.0009976611472666264
1744883346.4019148,1252,0.0009974846616387367
1744883347.0653968,1254,0.0009974740678444505
1744883351.433697,1267,0.0009974048007279634
1744883352.771174,1271,0.0009973832638934255
1744883388.3892782,1376,0.000996786868199706
1744883402.3113706,1417,0.0009965375065803528
1744883415.768917,1457,0.000996285118162632
1744883416.085376,1458,0.0009962787153199315
1744883428.3030758,1494,0.0009960439056158066
1744883433.7387753,1510,0.000995937269181013
1744883434.7422476,1513,0.000995917129330337
1744883446.6456025,1548,0.0009956782450899482
1744883447.7002409,1551,0.000995657523162663
1744883452.5272908,1565,0.0009955598507076502
1744883473.3552895,1627,0.0009951143292710185
1744883476.1189432,1635,0.0009950553067028522
1744883488.163209,1670,0.0009947929065674543
1744883499.2257907,1702,0.0009945471538230777
1744883502.2375712,1711,0.0009944770717993379
1744883547.5361972,1847,0.0009933628607541323
1744883551.9535468,1860,0.0009932509856298566
1744883565.3702164,1899,0.0009929100051522255
1744883568.8633292,1909,0.0009928211802616715
1744883579.627701,1940,0.0009925424819812179
1744883586.4398155,1960,0.0009923598263412714
1744883586.814745,1961,0.000992350629530847
1744883626.6134882,2070,0.0009913162793964148
1744883629.7124357,2079,0.0009912279201671481
1744883633.077554,2089,0.0009911293163895607
1744883636.8137255,2100,0.000991020118817687
1744883674.173757,2209,0.0009899029973894358
1744883711.6794786,2319,0.0009887098567560315
1744883725.2365606,2359,0.0009882596787065268
1744883751.744344,2436,0.0009873685194179416
1744883753.4202957,2441,0.0009873096132650971
1744883757.8256135,2454,0.00098715559579432
1744883760.5161095,2462,0.0009870603680610657
1744883761.5246758,2465,0.0009870246285572648
1744883768.4680035,2485,0.0009867846965789795
1744883774.4707217,2503,0.0009865669999271631
1744883779.2811735,2517,0.0009863964514806867
1744883798.8097198,2577,0.0009856534888967872
1744883799.1397822,2578,0.0009856409160420299
1744883806.1578896,2599,0.0009853761876001954
1744883815.4756465,2627,0.0009850194910541177
1744883818.277283,2635,0.0009849168127402663
1744883821.0111933,2643,0.0009848137851804495
1744883835.2998743,2684,0.0009842802537605166
1744883838.395125,2693,0.0009841619757935405
1744883843.5407357,2708,0.0009839637205004692
1744883846.6871223,2717,0.0009838442783802748
1744883859.313895,2753,0.0009833619697019458
1744883859.6613169,2754,0.0009833484655246139
1744883864.390967,2768,0.0009831589413806796
1744883870.454821,2785,0.0009829273913055658
1744883879.908518,2812,0.0009825564920902252
1744883891.2170172,2844,0.0009821117855608463
1744883896.96973,2861,0.000981873250566423
1744883935.3784492,2973,0.0009802633430808783
1744884023.5373502,3083,0.00097861688118428
1744884023.8568974,3084,0.0009786016307771206
1744884030.5780406,3104,0.000978295225650072
1744884030.9543684,3105,0.000978279858827591
1744884036.3953488,3120,0.0009780486579984426
1744884045.212971,3145,0.0009776605293154716
1744884064.1885662,3199,0.0009768108138814569
1744884070.7705097,3217,0.0009765241993591189
1744884079.7521935,3241,0.0009761393303051591
1744884088.3042839,3265,0.0009757513762451708
1744884089.369584,3268,0.0009757027146406472
1744884120.6966581,3356,0.0009742528200149536
1744884137.5997515,3404,0.0009734447230584919
1744884158.0160067,3461,0.000972469337284565
1744884165.9418373,3483,0.0009720883099362254
1744884168.7528043,3491,0.0009719491354189813
1744884172.111286,3500,0.0009717921493574977
1744884181.3864596,3526,0.0009713362669572234
1744884195.712429,3566,0.0009706279379315674
1744884196.842728,3569,0.000970574445091188
1744884208.2306726,3600,0.0009700192604213953
1744884214.081677,3616,0.0009697307250462472
1744884227.5744457,3654,0.0009690401493571699
1744884228.7687871,3657,0.0009689853177405894
1744884230.2033615,3661,0.0009689120925031602
1744884232.7079415,3668,0.000968783802818507
1744884233.7222648,3671,0.0009687287383712828
1744884240.4584732,3690,0.0009683789103291929
1744884248.7980185,3712,0.0009679715149104595
1744884266.2952743,3761,0.0009670550934970379
1744884273.6059163,3782,0.0009666585247032344
1744884296.7065887,3848,0.0009653972228989005
1744884297.4659529,3850,0.0009653586312197149
1744884316.5846498,3902,0.0009643484372645617
1744884321.1540053,3915,0.0009640937205404043
1744884327.7527208,3933,0.0009637395851314068
1744884342.6178014,3975,0.0009629067499190569
1744884358.1880708,4012,0.0009621655335649848
1744884361.9856858,4023,0.0009619438205845654
1744884384.0339963,4084,0.0009607029496692121
1744884392.8674507,4109,0.0009601889178156853
1744884397.3470814,4121,0.0009599410695955157
1744884398.475933,4124,0.0009598789620213211
1744884406.5171804,4146,0.000959422264713794
1744884419.0842755,4181,0.0009586905944161117
